,0,1,2,3,4,5,6,7,8,9,10,11
0,equality,freedom,couple,view,plebiscite,child,charity,community,vote,amendment,officer,celebrant
1,love,religious,sex,issue,debate,institution,charitable,want,survey,member,belief,religious
2,law,religion,discrimination,change,prime,woman,commissioner,gay,yes,senate,item,list
3,parliament,belief,government,think,government,man,status,year,percent,house,entity,category
4,right,protection,relationship,position,labor,society,charities,young,electorate,debate,chaplain,perform
5,equal,protect,adoption,member,australian,family,act,like,postal,want,authorised,90
6,australians,faith,superannuation,election,minister,parent,religious,know,australian,think,insert,civil
7,party,right,gay,sex,issue,union,tax,come,result,seek,subsection,ceremony
8,lgbtiq,church,law,debate,parliament,relationship,amendment,lgbtiq,australians,discrimination,page,religion
9,member,law,facto,matter,australians,mother,organisation,feel,religious,opposition,omit,solemnise
10,time,conscience,act,parliament,vote,sex,entity,love,respect,second,schedule,freedom
11,prime,amendment,lesbian,believe,party,social,confirm,family,process,legislation,person,register
12,vote,view,remove,conscience,million,father,purpose,friend,change,today,substitute,amendment
13,minister,traditional,commonwealth,party,opposition,life,assessment,today,support,make,force,opt
14,discrimination,sex,legislation,definition,election,love,dgr,time,majority,support,section,website
15,work,hold,state,electorate,lgbti,raise,relevant,life,sex,committee,appoint,final
16,let,speech,community,vote,campaign,biological,concern,relationship,view,time,line,minister
17,support,international,heterosexual,support,make,legislation,law,thing,participation,contribution,conscientious,sex
18,australia,australians,labor,act,leader,change,funding,campaign,national,point,relevant,wedding
19,marry,conscientious,discriminate,different,democracy,law,provide,make,freedom,read,religious,day
